Date,Min temp,Max temp,Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temp,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temp,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
2021-08-20,3.0,20.3,0.2,NE,33.0,14:25,10.0,87,0.0,N,6,1019.6,17.6,65,0.0,NE,22,1014.4,0
2021-08-21,6.7,19.8,0.2,ENE,30.0,13:21,13.3,77,1.0,NNW,4,1017.1,17.5,68,3.0,ENE,11,1013.7,0
2021-08-22,4.7,26.0,0.0,NW,35.0,14:53,13.8,76,0.0,SW,7,1019.3,25.5,23,0.0,NNW,19,1013.2,0
2021-08-23,6.3,27.7,0.2,S,57.0,17:03,21.1,40,0.0,N,24,1009.1,24.4,34,8.0,NNW,22,1005.5,0
2021-08-24,7.7,12.0,32.8,SSW,76.0,20:23,9.2,84,7.0,SW,22,1010.7,11.3,84,8.0,SSW,33,1007.8,1
2021-08-25,9.2,16.4,5.2,SSW,78.0,01:04,11.6,64,7.0,SW,31,1012.2,15.5,50,8.0,SSW,39,1011.6,1
2021-08-26,5.6,17.6,0.0,S,37.0,11:38,13.6,55,7.0,SW,13,1017.6,16.2,49,8.0,S,15,1016.1,0
2021-08-27,9.6,13.2,3.0,WNW,24.0,19:27,10.6,92,8.0,WSW,9,1016.5,10.4,93,8.0,W,11,1014.4,1
2021-08-28,9.3,17.6,23.6,SW,30.0,09:52,13.2,71,8.0,SSW,11,1017.1,15.0,67,7.0,SSE,17,1015.8,1
2021-08-29,7.7,14.8,0.2,NW,19.0,16:02,11.1,93,8.0,WSW,9,1014.4,14.1,71,8.0,WNW,4,1010.9,0
2021-08-30,3.6,16.4,0.2,ENE,22.0,15:23,12.2,67,0.0,NW,4,1017.9,16.1,48,8.0,ENE,17,1016.1,0
2021-08-31,3.2,18.4,0.0,NE,30.0,13:34,12.4,73,0.0, ,Calm,1021.2,17.3,64,0.0,NE,20,1017.7,0
2021-06-1,0.8,18.6,0.0,SW,15.0,09:39,7.6,89,0.0,WNW,2,1021.0,16.1,59,0.0,NNE,9,1019.4,0
2021-06-2,6.4,19.2,0.0,W,17.0,04:22,13.4,64,0.0,W,7,1020.6,18.2,53,0.0,ENE,13,1017.4,0
2021-06-3,8.3,13.0,0.2,WSW,17.0,10:23,11.6,91,8.0,W,6,1015.5,12.8,95,8.0,WSW,7,1011.4,0
2021-06-4,9.7,18.8,6.2,S,30.0,14:08,13.0,82,6.0, ,Calm,1010.2,15.9,60,8.0,SSW,15,1010.8,1
2021-06-5,1.0,15.9,0.0,NNE,28.0,12:17,6.9,77,0.0, ,Calm,1021.8,15.1,43,0.0,NNE,17,1018.3,0
2021-06-6,3.3,19.5,0.0,NNE,22.0,15:38,10.2,71,0.0,NNW,2,1023.7,18.2,50,0.0,NE,15,1021.5,0
2021-06-7,4.2,18.6,0.0,N,20.0,18:22,9.0,96,0.0,NNW,4,1021.3,17.9,53,0.0,NNE,11,1016.0,0
2021-06-8,9.0,20.7,0.0,NNW,52.0,05:53,14.5,47,0.0,N,9,1009.5,20.1,31,0.0,NNW,15,1005.4,0
2021-06-9,7.5,15.2,0.0,SSW,33.0,14:04,9.6,74,8.0,W,11,1004.1,12.7,62,8.0,SW,13,999.6,0
2021-06-10,2.8,12.1,11.8,SSW,35.0,23:09,6.7,92,6.0,W,7,1006.1,10.8,91,8.0,W,7,1006.8,1
2021-06-11,6.5,15.2,33.2,SW,46.0,00:54,12.1,94,7.0,WSW,15,1009.9,11.6,91,8.0,W,9,1009.4,1
2021-06-12,7.6,14.4,6.4,WNW,37.0,02:30,13.8,54,8.0,NW,17,1010.6,13.5,63,8.0,NNW,15,1011.3,1
2021-06-13,7.4,19.4,0.0,WNW,20.0,01:58,13.9,56,0.0,WNW,7,1015.0,18.2,53,0.0,ENE,13,1013.4,0
2021-06-14,9.0,18.6,0.0,NW,28.0,21:31,11.9,89,1.0,WSW,6,1016.6,16.5,63,7.0,SE,9,1014.7,0
2021-06-15,10.6,18.1,3.0,SE,19.0,13:34,12.9,88,7.0,W,9,1018.1,16.0,68,7.0,SSE,9,1015.9,1
2021-06-16,4.5,17.9,0.0,NW,24.0,17:21,10.2,94,0.0, ,Calm,1016.0,17.7,69,8.0,NNE,9,1011.1,0
